G2expocode,G2cruise,G2station,G2year,G2month,G2day,G2latitude,G2longitude,G2depth,G2tco2,G2talk,G2temperature,G2salinity,G2phtsinsitutp,G2tco2qc,G2talkqc,G2phtsqc
33RO20070710,344.0,29.0,2007.0,7.0,18.0,26.996,-79.99,3.9,2020.7,2385.0,30.64,36.414,8.0318,1.0,1.0,0.0
33RO20070710,344.0,29.0,2007.0,7.0,18.0,26.996,-79.99,9.8,2024.2,2381.3,29.588,36.419,8.0371,1.0,1.0,0.0
33HH20180625,4048.0,180.0,2018.0,7.0,28.0,26.9967,-79.918,6.0,2041.12,2391.996188,30.8076,35.8907,8.00852430153435,0.0,0.0,0.0
33RO20120721,4057.0,22.0,2012.0,7.0,30.0,26.997,-80.003,3.0,2034.02,2361.1,28.076,36.087,8.0344732337778,1.0,1.0,1.0
33RO20120721,4057.0,22.0,2012.0,7.0,30.0,26.997,-80.003,9.0,2034.04,2358.81,27.977,36.088,8.01888006247368,1.0,1.0,1.0
33HH20180625,4048.0,180.0,2018.0,7.0,28.0,26.9975,-79.918,2.0,2024.76,2375.069392,30.6194,35.4354,8.02440945036363,0.0,0.0,0.0
33RO19980123,341.0,130.0,1998.0,2.0,23.0,26.999,-79.937,3.0,2044.5,2385.4,23.327,36.024,8.1112,1.0,1.0,1.0
33RO20170718,4058.0,107.0,2017.0,8.0,20.0,26.9995,-79.176,3.0,2017.1,2368.08,30.22,36.376,8.02442501075146,0.0,0.0,0.0
33RO20170718,4058.0,97.0,2017.0,8.0,19.0,26.9999,-79.987,3.0,2030.6,2378.23,30.721,35.896,8.0114695170031,0.0,0.0,0.0
33RO20170718,4058.0,97.0,2017.0,8.0,19.0,26.9999,-79.987,10.0,2034.8,2378.68,29.92,35.955,8.01703423435771,0.0,0.0,0.0
33RO20120721,4057.0,23.0,2012.0,7.0,30.0,27.0,-79.986,3.0,2009.88,2350.73,29.853,36.073,8.02067509524459,1.0,1.0,1.0
33RO19980123,341.0,122.0,1998.0,2.0,23.0,27.0,-79.2,4.0,2014.1,2364.5,26.089,36.176,8.0899,1.0,1.0,1.0
74EQ20151206,1109.0,15.0,2015.0,12.0,11.0,27.0,-79.158,6.0,2009.1,2351.8,27.626,35.947,8.04541474195456,1.0,1.0,0.0
